start city,stop city,distance
Ankara,Shanghai,7775.799389572202
Ankara,Singapore,8310.313560370781
Ankara,Sofia,846.1791934587944
Ankara,Stockholm,2402.479931699835
Ankara,Sydney,14609.537480325753
Ankara,Tananarive,6637.047047937264
Ankara,Teheran,1725.3751970628061
Ankara,Tokyo,8817.41683654793
Ankara,Tripoli,1906.6146415035407
Ankara,Venice,1781.9574461432746
Ankara,Veracruz,11599.384668679222
Ankara,Vienna,1617.2389911532355
Ankara,Vladivostok,7781.901762169054
Ankara,Warsaw,1657.4244338980093
Ankara,Wellington,16814.63655615701
Ankara,Zrich,2125.535362690773
Asuncin,Aberdeen,10525.46653760351
Asuncin,Adelaide,13175.964798993004
Asuncin,Algiers,9329.880754414877
Asuncin,Amsterdam,10488.813734172996
Asuncin,Ankara,11753.042308617325
Asuncin,Asuncin,0.0
Asuncin,Athens,10937.164901534632
Asuncin,Auckland,11270.900830712459
Asuncin,Bangkok,17349.255906361428
Asuncin,Barcelona,9646.007305089552
Asuncin,Beijing,18313.371134896694
Asuncin,Belm,2829.4615871898077
Asuncin,Belfast,10135.723266522118
Asuncin,Belgrade,11039.368341862462
Asuncin,Berlin,10988.622210400988
Asuncin,Birmingham,10169.648113685804
Asuncin,Bogot,3744.284543721595
Asuncin,Bombay,14838.510292441195
Asuncin,Bordeaux,9673.35178779917
Asuncin,Bremen,10788.120125120073
Asuncin,Brisbane,13297.945402197027
Asuncin,Bristol,10056.693293449724
Asuncin,Brussels,10357.96856043983
Asuncin,Bucharest,11489.083716686768
Asuncin,Budapest,11120.062420466124
Asuncin,Buenos Aires,1026.3607321621023
Asuncin,Cairo,11260.13704025331
Asuncin,Calcutta,16518.39058279335
Asuncin,Canton,19051.049391007287
Asuncin,Cape Town,7232.654133523946
Asuncin,Caracas,4081.5801272120557
Asuncin,Cayenne,3344.765253236516
Asuncin,Chihuahua,7937.840883239886
Asuncin,Chongqing,18346.060820338196
Asuncin,Copenhagen,11111.233009577658
Asuncin,Crdoba,946.1866625358207
Asuncin,Dakar,6185.942166070859
Asuncin,Darwin,15770.578024337417
Asuncin,Djibouti,11608.396222859476
Asuncin,Dublin,10016.450949149792
Asuncin,Durban,8479.756033275586
Asuncin,Edinburgh,10339.981294875888
Asuncin,Frankfurt,10610.26095135067
Asuncin,Georgetown,3515.79985929702
Asuncin,Glasgow,10287.857776483283
Asuncin,Guatemala City,5661.517912913494
Asuncin,Guayaquil,3495.13101120925
Asuncin,Hamburg,10872.881737034777
Asuncin,Hammerfest,12300.473026798662
Asuncin,Havana,6066.315455528563
